mission_id,scenario,deviation_at_handover_m,matched_baseline_row,match_residual_m,along_track_lag_rows,along_track_lag_m,along_track_lag_s,baseline_duration_s,mission_delay_pct,recovered_within_5m
M0072,S1,16.91942633167693,315,14.786342790713778,14,6.000373236272452,0.7000000000000001,15.75,4.444444444444445,0
M0073,S1,5.4282427488877865,325,5.259402203584028,4,1.5620947854411753,0.2,16.25,1.2307692307692308,0
M0074,S1,3.9856906540880286,272,3.863159231112454,-3,-1.051044958784516,-0.15,13.6,0.0,1
M0075,S1,7.157176461358944,1112,6.562256623193284,-6,-2.832537260572508,-0.3,55.6,0.0,0
M0076,S1,1.821127440290732,647,1.780743238795385,-1,-0.3968919669677291,-0.05,32.35,0.0,1
M0077,S1,4.307568391335938,362,3.3722739007534424,-9,-2.892341332841724,-0.45,18.1,0.0,1
M0078,S1,8.364745553091215,743,3.4179978596350176,24,7.626457767045935,1.2000000000000002,37.15,3.2301480484522207,0
M0079,S1,4.349816710015966,1154,3.205224170380219,-6,-2.789640030932788,-0.3,57.7,0.0,1
M0080,S1,1.8679411821722267,826,0.5120150272967375,-4,-1.782660470381586,-0.2,41.3,0.0,1
M0081,S1,9.294921804268016,335,8.100882590365385,9,3.406311129127161,0.45,16.75,2.6865671641791047,0
M0082,S1,4.858069505508536,386,4.177777280303016,-6,-2.7000760114210607,-0.3,19.3,0.0,1
M0083,S1,4.633615296270492,488,4.442547335681733,4,1.406856054856917,0.2,24.4,0.819672131147541,1
M0084,S1,9.357678590860056,440,1.6007227295673443,-22,-8.999957059532704,-1.1,22.0,0.0,0
M0085,S1,2.7365650638599908,186,1.8493728390937036,-4,-2.0374697842948137,-0.2,9.3,0.0,1
M0086,S1,5.287082901358791,304,3.978496076091536,7,3.329862307398201,0.35,15.2,2.3026315789473686,0
M0087,S1,1.1048820977636262,322,0.9944969562228476,-1,-0.4151605128967901,-0.05,16.1,0.0,1
M0088,S1,6.143217781083046,1000,5.914335149582138,4,1.5758846185217408,0.2,50.0,0.4,0
M0089,S1,1.0594017171027486,838,0.1453160391941089,3,1.0671402851240828,0.15,41.900000000000006,0.3579952267303102,1
M0090,S1,10.247096207958831,448,0.7213274020890038,-23,-10.131683313264602,-1.15,22.4,0.0,0
M0091,S1,4.5810144432368745,753,1.8062027438094963,-10,-4.003544769470238,-0.5,37.65,0.0,1
M0092,S1,3.434432382057195,1125,1.7976163266071614,-7,-2.987730970662028,-0.35,56.25,0.0,1
M0093,S1,5.451752199405168,1136,5.2789869953708815,3,1.2614614565335387,0.15,56.8,0.2640845070422535,0
M0094,S1,2.352214264999426,473,2.019598630215532,3,1.0806433336341854,0.15,23.65,0.6342494714587738,1
M0095,S1,6.48415141205809,1442,1.4955880231685148,-18,-6.418791285241866,-0.9,72.10000000000001,0.0,0
M0096,S1,3.5514421358394133,606,1.7719905207903437,-7,-2.9938727244887104,-0.35,30.3,0.0,1
M0097,S1,1.9785900527268607,785,1.5885341641443202,-3,-1.292949802954638,-0.15,39.25,0.0,1
M0098,S1,6.856008451739279,842,6.150142657997724,-9,-3.167547657744876,-0.45,42.1,0.0,0
M0099,S1,1.9437838783273853,781,1.875404064932668,1,0.3736251803019854,0.05,39.05,0.1280409731113956,1
M0100,S1,3.788840110303465,1004,3.401934227270782,3,1.4486390483568243,0.15,50.2,0.298804780876494,1
M0101,S1,3.721952768088885,627,2.722877175027269,8,2.485216195302513,0.4,31.35,1.2759170653907497,1
M0102,S1,1.514178634062482,457,1.503281807402674,1,0.4802499041079784,0.05,22.85,0.2188183807439825,1
M0103,S1,5.306236617149823,735,3.819638464590536,-7,-3.5028451515653387,-0.35,36.75,0.0,0
M0104,S1,3.4375308338677946,853,0.7086177914640641,-11,-3.3076892974385146,-0.55,42.650000000000006,0.0,1
M0105,S1,4.912084584833922,253,0.5357439541028131,-11,-4.908454700864269,-0.55,12.65,0.0,1
M0106,S1,3.2825100363623827,324,3.2735003462737704,-1,-0.3581326995402207,-0.05,16.2,0.0,1
M0107,S1,5.243286933232352,575,5.140961562461463,3,1.0172249159577689,0.15,28.75,0.5217391304347826,0
M0108,S1,2.858255452522071,533,0.0566857118423436,8,2.9139734271135467,0.4,26.65,1.50093808630394,1
M0109,S1,4.866558066110692,430,2.414096905815673,-12,-4.192200464803392,-0.6000000000000001,21.5,0.0,1
M0110,S1,3.9573232624081376,1652,1.7037523818487066,-9,-3.363729895929282,-0.45,82.60000000000001,0.0,1
M0111,S1,1.8009503875295734,1472,1.4370863092878363,-3,-1.231550639608031,-0.15,73.60000000000001,0.0,1
M0112,S1,4.870034537886479,456,4.110308250130156,-7,-2.555433262514612,-0.35,22.8,0.0,1
M0113,S1,11.187892935914382,1246,0.8650839091641745,-32,-11.127050892188777,-1.6,62.3,0.0,0
M0114,S1,6.221264385724917,123,5.24314355338309,-7,-3.293059102705122,-0.35,6.15,0.0,0
M0115,S1,8.77407584455708,151,4.510838801230063,19,7.035939250209431,0.95,7.550000000000001,12.582781456953642,0
M0116,S1,6.690351672641311,692,6.420096394669971,-6,-1.8995211796292608,-0.3,34.6,0.0,0
M0117,S1,3.4886091622308912,374,3.388741860000688,-3,-1.039233728857937,-0.15,18.7,0.0,1
M0118,S1,1.0595414651072903,1083,0.8899734393941573,-2,-0.7189075983424686,-0.1,54.150000000000006,0.0,1
M0119,S1,8.644315704676986,841,0.0517029043684977,-22,-8.593226573044035,-1.1,42.05,0.0,0
M0120,S1,5.083312274946323,1463,0.7527194498443411,-11,-4.829334548936345,-0.55,73.15,0.0,0
M0121,S1,5.623513794902551,920,5.506139544700559,3,1.2141204141903472,0.15,46.0,0.3260869565217391,0
M0122,S1,1.4565842110235965,282,1.0718774030735363,-2,-0.8963115835500162,-0.1,14.1,0.0,1
M0123,S1,10.1726495503577,438,3.696534855229491,-23,-9.120457558307123,-1.15,21.9,0.0,0
M0124,S1,1.7750564132179003,304,1.0724963779166017,3,1.3400951465497286,0.15,15.2,0.986842105263158,1
M0125,S1,9.67710085576948,135,1.279122574105914,22,9.668491604412168,1.1,6.75,16.296296296296298,0
M0126,S1,4.008901040712166,734,1.0871275260434154,-9,-3.742920424699321,-0.45,36.7,0.0,1
M0127,S1,4.635196240855634,291,4.605870419263125,2,0.7221731885264973,0.1,14.55,0.6872852233676976,1
M0128,S1,4.396822608577664,577,4.245536996712649,-2,-0.965959362254182,-0.1,28.85,0.0,1
M0129,S1,4.708756290685279,494,4.012413845187475,-6,-2.659539097410089,-0.3,24.700000000000003,0.0,1
M0130,S1,9.302651066161792,719,4.281324855160608,27,8.302811820714652,1.35,35.95,3.755215577190542,0
M0131,S1,2.449860708481947,505,2.449860708481947,0,0.0,0.0,25.25,0.0,1
M0132,S1,1.5317297314462095,462,1.289937473979072,2,0.6688791060954884,0.1,23.1,0.4329004329004329,1
M0133,S1,1.9220022795848264,377,0.2323398527455867,-4,-1.8176650800839127,-0.2,18.85,0.0,1
M0134,S1,8.005711697892043,440,1.0311375046948998,-20,-8.220352295098365,-1.0,22.0,0.0,0
M0135,S1,3.3535328585869086,562,0.759272134401169,-11,-3.38187778085549,-0.55,28.1,0.0,1
M0136,S1,9.673406776441611,964,1.1319436733992303,-21,-9.549978807244145,-1.05,48.2,0.0,0
M0137,S1,3.4428685682991755,575,0.7945306402874187,8,3.463781336044349,0.4,28.75,1.391304347826087,1
M0138,S1,2.559483231709123,330,2.559483231709123,0,0.0,0.0,16.5,0.0,1
M0139,S1,1.63465735666315,943,0.7658644737233743,4,1.5162467325698117,0.2,47.150000000000006,0.4241781548250265,1
M0140,S1,3.9646512112044383,415,3.961311467955378,1,0.4033773375622616,0.05,20.75,0.2409638554216867,1
M0141,S1,6.057199039192791,763,1.4140432774794602,-12,-5.816122785795244,-0.6000000000000001,38.15,0.0,0
M0142,S1,6.170251178204677,251,1.5299948458406196,-14,-5.7577984584702335,-0.7000000000000001,12.55,0.0,0
M0143,S1,6.2052153295210895,1539,4.951395979748066,-10,-4.411481879720554,-0.5,76.95,0.0,0
M0144,S1,5.540326049865773,696,4.734680955423128,-10,-3.0372490542615083,-0.5,34.800000000000004,0.0,0
M0145,S1,0.8950455326506939,654,0.4200901787371471,2,0.6474438629438168,0.1,32.7,0.3058103975535168,1
M0146,S1,20.75270941375506,563,15.144537931055396,27,10.76949231403259,1.35,28.15,4.795737122557727,0
M0147,S1,5.936730344795356,374,5.255707995550429,-7,-2.2494446913976134,-0.35,18.7,0.0,0
M0148,S1,6.532554447573635,1256,3.0497182887477594,15,5.598521239083993,0.75,62.8,1.194267515923567,0
M0149,S1,4.753496775864106,317,4.753496775864106,0,0.0,0.0,15.85,0.0,1
M0150,S1,2.191864910240139,367,0.5379079060784286,-5,-2.0738800598566627,-0.25,18.35,0.0,1
